id,timestamp,iso_time,device_id,temperature_c,humidity_pct,soil_moisture_pct,light_lux,alert_flag,alert_reason
1,1788741081.58,2026-09-07T00:31:21.579816+00:00,GH-SENSOR-01,17.12,77.47,61.95,112.3,0,
2,1788741981.58,2026-09-07T00:46:21.579816+00:00,GH-SENSOR-01,18.34,78.36,62.12,54.4,0,
3,1788742881.58,2026-09-07T01:01:21.579816+00:00,GH-SENSOR-01,18.56,79.26,61.35,66.1,0,
4,1788743781.58,2026-09-07T01:16:21.579816+00:00,GH-SENSOR-01,16.93,80.03,61.01,1.0,1,high_humidity
5,1788744681.58,2026-09-07T01:31:21.579816+00:00,GH-SENSOR-01,17.53,77.22,59.43,0.0,0,
6,1788745581.58,2026-09-07T01:46:21.579816+00:00,GH-SENSOR-01,17.66,77.34,58.52,75.8,0,
7,1788746481.58,2026-09-07T02:01:21.579816+00:00,GH-SENSOR-01,18.14,77.43,58.31,52.6,0,
8,1788747381.58,2026-09-07T02:16:21.579816+00:00,GH-SENSOR-01,17.96,78.35,56.89,51.8,0,
9,1788748281.58,2026-09-07T02:31:21.579816+00:00,GH-SENSOR-01,17.63,76.09,56.83,28.0,0,
10,1788749181.58,2026-09-07T02:46:21.579816+00:00,GH-SENSOR-01,18.15,80.27,56.94,0.0,1,high_humidity
11,1788750081.58,2026-09-07T03:01:21.579816+00:00,GH-SENSOR-01,16.93,76.42,57.0,0.0,0,
12,1788750981.58,2026-09-07T03:16:21.579816+00:00,GH-SENSOR-01,17.23,79.12,57.14,131.2,0,
13,1788751881.58,2026-09-07T03:31:21.579816+00:00,GH-SENSOR-01,17.48,75.09,57.14,0.0,0,
14,1788752781.58,2026-09-07T03:46:21.579816+00:00,GH-SENSOR-01,17.01,76.51,58.04,60.9,0,
15,1788753681.58,2026-09-07T04:01:21.579816+00:00,GH-SENSOR-01,17.97,79.26,57.09,16.2,0,
16,1788754581.58,2026-09-07T04:16:21.579816+00:00,GH-SENSOR-01,17.24,77.5,57.57,14.5,0,
17,1788755481.58,2026-09-07T04:31:21.579816+00:00,GH-SENSOR-01,17.32,76.37,56.94,27.2,0,
18,1788756381.58,2026-09-07T04:46:21.579816+00:00,GH-SENSOR-01,17.3,79.07,57.66,0.0,0,
19,1788757281.58,2026-09-07T05:01:21.579816+00:00,GH-SENSOR-01,17.04,80.42,58.05,77.5,1,high_humidity
20,1788758181.58,2026-09-07T05:16:21.579816+00:00,GH-SENSOR-01,19.29,76.72,55.98,33.6,0,
21,1788759081.58,2026-09-07T05:31:21.579816+00:00,GH-SENSOR-01,17.74,78.22,55.07,0.0,0,
22,1788759981.58,2026-09-07T05:46:21.579816+00:00,GH-SENSOR-01,17.6,76.99,53.44,0.0,0,
23,1788760881.58,2026-09-07T06:01:21.579816+00:00,GH-SENSOR-01,26.51,64.32,53.28,66.9,0,
24,1788761781.58,2026-09-07T06:16:21.579816+00:00,GH-SENSOR-01,18.5,78.55,52.88,261.6,0,
25,1788762681.58,2026-09-07T06:31:21.579816+00:00,GH-SENSOR-01,18.34,75.19,52.13,780.3,0,
26,1788763581.58,2026-09-07T06:46:21.579816+00:00,GH-SENSOR-01,18.8,75.22,51.9,1154.6,0,
27,1788764481.58,2026-09-07T07:01:21.579816+00:00,GH-SENSOR-01,19.52,72.39,52.25,1584.6,0,
28,1788765381.58,2026-09-07T07:16:21.579816+00:00,GH-SENSOR-01,20.04,70.84,51.41,2079.9,0,
29,1788766281.58,2026-09-07T07:31:21.579816+00:00,GH-SENSOR-01,20.95,71.71,50.97,2534.4,0,
30,1788767181.58,2026-09-07T07:46:21.579816+00:00,GH-SENSOR-01,21.11,68.68,50.66,3012.2,0,
31,1788768081.58,2026-09-07T08:01:21.579816+00:00,GH-SENSOR-01,22.8,69.07,50.56,3499.7,0,
32,1788768981.58,2026-09-07T08:16:21.579816+00:00,GH-SENSOR-01,22.55,64.65,51.02,3916.2,0,
33,1788769881.58,2026-09-07T08:31:21.579816+00:00,GH-SENSOR-01,22.67,64.56,50.64,4269.2,0,
34,1788770781.58,2026-09-07T08:46:21.579816+00:00,GH-SENSOR-01,24.1,66.43,49.88,4700.1,0,
35,1788771681.58,2026-09-07T09:01:21.579816+00:00,GH-SENSOR-01,24.41,61.44,49.27,5162.0,0,
36,1788772581.58,2026-09-07T09:16:21.579816+00:00,GH-SENSOR-01,25.65,61.94,48.59,5639.5,0,
37,1788773481.58,2026-09-07T09:31:21.579816+00:00,GH-SENSOR-01,25.62,62.86,48.12,5927.3,0,
38,1788774381.58,2026-09-07T09:46:21.579816+00:00,GH-SENSOR-01,26.63,61.2,47.47,6303.0,0,
39,1788775281.58,2026-09-07T10:01:21.579816+00:00,GH-SENSOR-01,26.63,60.05,47.91,6605.5,0,
40,1788776181.58,2026-09-07T10:16:21.579816+00:00,GH-SENSOR-01,27.36,57.94,47.2,6871.2,0,
41,1788777081.58,2026-09-07T10:31:21.579816+00:00,GH-SENSOR-01,27.36,58.7,47.61,7093.7,0,
42,1788777981.58,2026-09-07T10:46:21.579816+00:00,GH-SENSOR-01,28.07,56.95,48.45,7334.4,0,
43,1788778881.58,2026-09-07T11:01:21.579816+00:00,GH-SENSOR-01,27.74,58.09,47.12,7519.5,0,
44,1788779781.58,2026-09-07T11:16:21.579816+00:00,GH-SENSOR-01,27.76,56.16,47.06,7635.5,0,
45,1788780681.58,2026-09-07T11:31:21.579816+00:00,GH-SENSOR-01,28.47,58.58,47.68,7800.6,0,
46,1788781581.58,2026-09-07T11:46:21.579816+00:00,GH-SENSOR-01,28.96,57.04,46.97,7772.3,0,
47,1788782481.58,2026-09-07T12:01:21.579816+00:00,GH-SENSOR-01,28.2,55.27,46.59,7841.2,0,
48,1788783381.58,2026-09-07T12:16:21.579816+00:00,GH-SENSOR-01,28.24,55.49,46.0,7863.2,0,
49,1788784281.58,2026-09-07T12:31:21.579816+00:00,GH-SENSOR-01,28.58,56.12,45.24,7711.0,0,
50,1788785181.58,2026-09-07T12:46:21.579816+00:00,GH-SENSOR-01,28.13,56.07,21.56,7693.4,1,dry_soil
51,1788786081.58,2026-09-07T13:01:21.579816+00:00,GH-SENSOR-01,27.13,59.41,20.28,7506.5,1,dry_soil
52,1788786981.58,2026-09-07T13:16:21.579816+00:00,GH-SENSOR-01,27.34,56.03,20.12,7326.5,1,dry_soil
53,1788787881.58,2026-09-07T13:31:21.579816+00:00,GH-SENSOR-01,27.32,57.67,73.36,7082.2,0,
54,1788788781.58,2026-09-07T13:46:21.579816+00:00,GH-SENSOR-01,28.05,57.94,73.27,6860.1,0,
55,1788789681.58,2026-09-07T14:01:21.579816+00:00,GH-SENSOR-01,26.68,59.55,72.48,6635.4,0,
56,1788790581.58,2026-09-07T14:16:21.579816+00:00,GH-SENSOR-01,26.94,57.43,72.28,6295.8,0,
57,1788791481.58,2026-09-07T14:31:21.579816+00:00,GH-SENSOR-01,25.93,63.32,72.1,5892.4,0,
58,1788792381.58,2026-09-07T14:46:21.579816+00:00,GH-SENSOR-01,25.17,60.32,72.36,5576.9,0,
59,1788793281.58,2026-09-07T15:01:21.579816+00:00,GH-SENSOR-01,24.32,64.02,72.4,5088.3,0,
60,1788794181.58,2026-09-07T15:16:21.579816+00:00,GH-SENSOR-01,24.4,64.85,72.0,4772.9,0,
61,1788795081.58,2026-09-07T15:31:21.579816+00:00,GH-SENSOR-01,22.79,65.19,71.3,4323.1,0,
62,1788795981.58,2026-09-07T15:46:21.579816+00:00,GH-SENSOR-01,23.62,67.42,71.29,3802.7,0,
63,1788796881.58,2026-09-07T16:01:21.579816+00:00,GH-SENSOR-01,21.98,66.68,70.83,3429.1,0,
