# GreenHouseWatch simulator — 20 records, interval=0.0s
# Fields: timestamp, iso_time, device_id, temperature_c, humidity_pct, soil_moisture_pct, light_lux, alert_flag, alert_reason
{"timestamp": 1788813086.599, "iso_time": "2026-09-07T20:31:26.598819+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 16.85, "humidity_pct": 75.82, "soil_moisture_pct": 54.34, "light_lux": 20.9, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.599, "iso_time": "2026-09-07T20:31:26.598981+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.07, "humidity_pct": 77.08, "soil_moisture_pct": 54.75, "light_lux": 7.6, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.599, "iso_time": "2026-09-07T20:31:26.599083+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 18.2, "humidity_pct": 78.68, "soil_moisture_pct": 55.19, "light_lux": 46.4, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.599, "iso_time": "2026-09-07T20:31:26.599178+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.82, "humidity_pct": 78.16, "soil_moisture_pct": 54.92, "light_lux": 0.0, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.599, "iso_time": "2026-09-07T20:31:26.599270+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.93, "humidity_pct": 79.47, "soil_moisture_pct": 54.62, "light_lux": 18.5, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.599, "iso_time": "2026-09-07T20:31:26.599362+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.6, "humidity_pct": 77.87, "soil_moisture_pct": 55.14, "light_lux": 56.5, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.599, "iso_time": "2026-09-07T20:31:26.599458+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.04, "humidity_pct": 78.16, "soil_moisture_pct": 55.33, "light_lux": 9.0, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.6, "iso_time": "2026-09-07T20:31:26.599550+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.53, "humidity_pct": 79.66, "soil_moisture_pct": 54.72, "light_lux": 41.9, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.6, "iso_time": "2026-09-07T20:31:26.599641+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 18.46, "humidity_pct": 80.21, "soil_moisture_pct": 55.95, "light_lux": 9.7, "alert_flag": 1, "alert_reason": "high_humidity"}
{"timestamp": 1788813086.6, "iso_time": "2026-09-07T20:31:26.599733+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.57, "humidity_pct": 77.0, "soil_moisture_pct": 54.23, "light_lux": 0.0, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.6, "iso_time": "2026-09-07T20:31:26.599825+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.63, "humidity_pct": 77.53, "soil_moisture_pct": 54.88, "light_lux": 0.0, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.6, "iso_time": "2026-09-07T20:31:26.599950+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 16.98, "humidity_pct": 75.38, "soil_moisture_pct": 54.55, "light_lux": 114.3, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.6, "iso_time": "2026-09-07T20:31:26.600061+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.16, "humidity_pct": 77.19, "soil_moisture_pct": 55.03, "light_lux": 55.8, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.6, "iso_time": "2026-09-07T20:31:26.600155+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 18.51, "humidity_pct": 80.03, "soil_moisture_pct": 53.49, "light_lux": 0.0, "alert_flag": 1, "alert_reason": "high_humidity"}
{"timestamp": 1788813086.6, "iso_time": "2026-09-07T20:31:26.600247+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.37, "humidity_pct": 77.13, "soil_moisture_pct": 54.68, "light_lux": 0.0, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.6, "iso_time": "2026-09-07T20:31:26.600338+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 16.51, "humidity_pct": 78.43, "soil_moisture_pct": 55.31, "light_lux": 43.8, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.6, "iso_time": "2026-09-07T20:31:26.600428+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.24, "humidity_pct": 77.11, "soil_moisture_pct": 54.42, "light_lux": 7.9, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.601, "iso_time": "2026-09-07T20:31:26.600518+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.5, "humidity_pct": 78.26, "soil_moisture_pct": 55.15, "light_lux": 0.0, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.601, "iso_time": "2026-09-07T20:31:26.600609+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.9, "humidity_pct": 78.12, "soil_moisture_pct": 54.85, "light_lux": 0.0, "alert_flag": 0, "alert_reason": null}
{"timestamp": 1788813086.601, "iso_time": "2026-09-07T20:31:26.600700+00:00", "device_id": "GH-SENSOR-01", "temperature_c": 17.7, "humidity_pct": 77.23, "soil_moisture_pct": 54.2, "light_lux": 58.8, "alert_flag": 0, "alert_reason": null}
